Time,Theta,Velocity,Error
0.01,2.55,255,1500
0.02,5.1,255,1497.45
0.03,7.65,255,1494.9
0.04,10.2,255,1492.35
0.05,12.75,255,1489.8
0.06,15.3,255,1487.25
0.07,17.85,255,1484.7
0.08,20.4,255,1482.15
0.09,22.95,255,1479.6
0.1,25.5,255,1477.05
0.11,28.05,255,1474.5
0.12,30.6,255,1471.95
0.13,33.15,255,1469.4
0.14,35.7,255,1466.85
0.15,38.25,255,1464.3
0.16,40.8,255,1461.75
0.17,43.35,255,1459.2
0.18,45.9,255,1456.65
0.19,48.45,255,1454.1
0.2,51,255,1451.55
0.21,53.55,255,1449
0.22,56.1,255,1446.45
0.23,58.65,255,1443.9
0.24,61.2,255,1441.35
0.25,63.75,255,1438.8
0.26,66.3,255,1436.25
0.27,68.85,255,1433.7
0.28,71.4,255,1431.15
0.29,73.95,255,1428.6
0.3,76.5,255,1426.05
0.31,79.05,255,1423.5
0.32,81.6,255,1420.95
0.33,84.15,255,1418.4
0.34,86.7,255,1415.85
0.35,89.25,255,1413.3
0.36,91.8,255,1410.75
0.37,94.35,255,1408.2
0.38,96.9,255,1405.65
0.39,99.45,255,1403.1
0.4,102,255,1400.55
0.41,104.55,255,1398
0.42,107.1,255,1395.45
0.43,109.65,255,1392.9
0.44,112.2,255,1390.35
0.45,114.75,255,1387.8
0.46,117.3,255,1385.25
0.47,119.85,255,1382.7
0.48,122.4,255,1380.15
0.49,124.95,255,1377.6
0.5,127.5,255,1375.05
0.51,130.05,255,1372.5
0.52,132.6,255,1369.95
0.53,135.15,255,1367.4
0.54,137.7,255,1364.85
0.55,140.25,255,1362.3
0.56,142.8,255,1359.75
0.57,145.35,255,1357.2
0.58,147.9,255,1354.65
0.59,150.45,255,1352.1
0.6,153,255,1349.55
0.61,155.55,255,1347
0.62,158.1,255,1344.45
0.63,160.65,255,1341.9
0.64,163.2,255,1339.35
0.65,165.75,255,1336.8
0.66,168.3,255,1334.25
0.67,170.85,255,1331.7
0.68,173.4,255,1329.15
0.69,175.95,255,1326.6
0.7,178.5,255,1324.05
0.71,181.05,255,1321.5
0.72,183.6,255,1318.95
0.73,186.15,255,1316.4
0.74,188.7,255,1313.85
0.75,191.25,255,1311.3
0.76,193.8,255,1308.75
0.77,196.35,255,1306.2
0.78,198.9,255,1303.65
0.79,201.45,255,1301.1
0.8,204,255,1298.55
0.81,206.55,255,1296
0.82,209.1,255,1293.45
0.83,211.65,255,1290.9
0.84,214.2,255,1288.35
0.85,216.75,255,1285.8
0.86,219.3,255,1283.25
0.87,221.85,255,1280.7
0.88,224.4,255,1278.15
0.89,226.95,255,1275.6
0.9,229.5,255,1273.05
0.91,232.05,255,1270.5
0.92,234.6,255,1267.95
0.93,237.15,255,1265.4
0.94,239.7,255,1262.85
0.95,242.25,255,1260.3
0.96,244.8,255,1257.75
0.97,247.35,255,1255.2
0.98,249.9,255,1252.65
0.99,252.45,255,1250.1
1,255,255,1247.55
1.01,257.55,255,1245
1.02,260.1,255,1242.45
1.03,262.65,255,1239.9
1.04,265.2,255,1237.35
1.05,267.75,255,1234.8
1.06,270.3,255,1232.25
1.07,272.85,255,1229.7
1.08,275.4,255,1227.15
1.09,277.95,255,1224.6
1.1,280.5,255,1222.05
1.11,283.05,255,1219.5
1.12,285.6,255,1216.95
1.13,288.15,255,1214.4
1.14,290.7,255,1211.85
1.15,293.25,255,1209.3
1.16,295.8,255,1206.75
1.17,298.35,255,1204.2
1.18,300.9,255,1201.65
1.19,303.45,255,1199.1
1.2,306,255,1196.55
1.21,308.55,255,1194
1.22,311.1,255,1191.45
1.23,313.65,255,1188.9
1.24,316.2,255,1186.35
1.25,318.75,255,1183.8
1.26,321.3,255,1181.25
1.27,323.85,255,1178.7
1.28,326.4,255,1176.15
1.29,328.95,255,1173.6
1.3,331.5,255,1171.05
1.31,334.05,255,1168.5
1.32,336.6,255,1165.95
1.33,339.15,255,1163.4
1.34,341.7,255,1160.85
1.35,344.25,255,1158.3
1.36,346.8,255,1155.75
1.37,349.35,255,1153.2
1.38,351.9,255,1150.65
1.39,354.45,255,1148.1
1.4,357,255,1145.55
1.41,359.55,255,1143
1.42,362.1,255,1140.45
1.43,364.65,255,1137.9
1.44,367.2,255,1135.35
1.45,369.75,255,1132.8
1.46,372.3,255,1130.25
1.47,374.85,255,1127.7
1.48,377.4,255,1125.15
1.49,379.95,255,1122.6
1.5,382.5,255,1120.05
1.51,385.05,255,1117.5
1.52,387.6,255,1114.95
1.53,390.15,255,1112.4
1.54,392.7,255,1109.85
1.55,395.25,255,1107.3
1.56,397.8,255,1104.75
